代號,名稱,年月日,報酬率％
1101,台泥,2020/03/13,-1.227
1101,台泥,2020/03/12,-2.512
1101,台泥,2020/03/11,0.4808
1101,台泥,2020/03/10,-0.5974
1101,台泥,2020/03/09,-2.3337
1101,台泥,2020/03/06,-1.0393
1101,台泥,2020/03/05,1.0502
1101,台泥,2020/03/04,0.4689
1101,台泥,2020/03/03,0.9467
1101,台泥,2020/03/02,0
1101,台泥,2020/02/27,0.1185
1101,台泥,2020/02/26,-1.171
1101,台泥,2020/02/25,-0.6977
1101,台泥,2020/02/24,-0.578
1101,台泥,2020/02/21,0.2317
1101,台泥,2020/02/20,-0.576
1101,台泥,2020/02/19,0.813
1101,台泥,2020/02/18,0.1163
1101,台泥,2020/02/17,-0.463
1101,台泥,2020/02/14,0.1159
1101,台泥,2020/02/13,0.8178
1101,台泥,2020/02/12,0.4695
1101,台泥,2020/02/11,0.4717
1101,台泥,2020/02/10,-0.2353
1101,台泥,2020/02/07,-1.1628
1101,台泥,2020/02/06,1.5348
1101,台泥,2020/02/05,-0.1179
1101,台泥,2020/02/04,2.0457
1101,台泥,2020/02/03,-1.1891
